,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
6368,YORKTOWN PROPERTY MANAGEMENT ,HUNTINGTON BEACH ,CALIFORNIA,92646,US,"I’m not allowed to go to HOA meetings , even tho I’ve been a renter and tenant for over 4 years . The only way of communicating is through a letter , never in person or any other shape or form . When I’m outside doing anything, hoa comes over to have all eyes on me . I’m also the only Hispanic in the neighborhood and the amount of disrespect I’ve received here is unethical . I stay to myself and i have a business , im busy 99% of the time that I simply ignore it. Aweful , the worst property management I’ve ever dealt with . ",1,1,4,3,1
6369,MAINSTREET ESTATES,SURREY,BRITISH COLUMBIA,V3R4C4,CA,"repeat offender of the rta
illegal entry commonplace
favoritism on display of tenants/staff
stairwells that are used as toilets and not regularly cleaned
criminal activities every single day by staff and tenants
illegal fees for repairs
roaches / spot treatment/ rarely ever is the entire building/s treated resulting in roaches forever being on site
mail theft
unsafe property for small children and pets
Trash everywhere
neglectful staff
over priced parking and rent


 ",1,1,1,1,1
6370,DETLEF EUPEN,VICTORIA,BRITISH COLUMBIA,V8S1Y2”,CA,"A neglectful landlord who fights his tenants over all repairs, be they small or large. Has to be threatened with RTB action to fulfill his contractural obligations. Also has a history of foisting landlord costs on his tenants. ",1,2,1,3,2
6371,MICHAEL PENNER AND CHRIS NUDD,NANAIMO,BRITISH COLUMBIA,V9T0G1,CA,"Amazing landlords who are always quick to act on repairs. Zero issues with invading privacy, and zero drama. Highly recommend. Very fair and competent landlords who know their rights of being a landlord as well as the rights of their tenants.",5,5,5,5,5
6372,BOONE HIGH COUNTRY RENTALS,BOONE,NORTH CAROLINA,28607,US,,2,2,3,3,1
6373,SHORELINE PROPERTY MANAGEMENT,KINGSTON,ONTARIO,K7L1G2,CA,"Terrible management company; terrible people; place is infested with bugs and pests, laundry machines have been broken for months, the maintenance people never give notice when they will arrive, and when they do arrive, they don't actually fix anything. Meth heads are constantly breaking into the building (or just living in the building, but Shoreline doesn't actually do any vetting of their tenants, so enjoy your crazy unhinged neighbours!) If the market wasn't so shit right now they  wouldn't have any people to pack into this building like sardines before they've even solved the massive infestation issues that continue even after treatments. Maybe its the fucking building eh? Maybe you need to actually do some repairs to the building?",1,1,1,1,1
6374,PG REALESTATE,MONTREAL,QUEBEC,H2T2X2,CA,"Great landlord, have been renting here over 5 years now, gets issued fixed within a week of being notified, increases are fair, has been forgiving and understanding for the occasional late rent. Has only evicted other tenants for missing rent. ",5,5,5,5,5
6375,SIMON BRODEUR,QUEBEC,QUEBEC,G1G6L5,CA,,4,5,5,5,5
6376,SUE EMERSON,NEWCASTLE,ONTARIO,L1B1L9,CA,"Moldy building, roof leafs, drafty. Ironic as drafty homes are supposed to keep mold at bay. Sue is mentally ill due to this the mold being everywhere. Paranoia, lack of privacy, nitpicking and manipulation are all common with her. 
",1,1,2,1,1
6377,NOBLE & ASSOCIATES PROPERTY MANAGEMENT,RICHMOND,BRITISH COLUMBIA,V6VC3C,CA,Were slow to fix a leaking gas stove & left me without a working fridge for over a week which caused all my food to spoil. Told me it was going to take two weeks to replace the fridge so I moved out immediately. Horrible property management company that passes you around to various people in their office when repairs were needed. Also refused to fix  other appliances within the unit which resulted in me having to do the repairs myself and on my own dime. Avoid at all costs if possible. ,1,1,3,2,2
6378,EMPIRE HOLDINGS,OTTAWA,ONTARIO,K2B5K8,CA,"List of issues since I started renting from Empire Holdings. 
1. Tried to tow my car despite being in my designated parking spot.
2. Fridge died and lost all my food. Was not provided compensation.
3. Radiator valve was rusted permanently. In the winter my apartment was so hot I had to leave all the windows open, even in -20 winter, just to regulate the temperature. It took 18 months of harassment to get them to fix it. 
4. Parking lot is never plowed or cleared properly. However 2023 I did see an improvement.
5. Attempts at rental hikes without an LTB hearing. 
6. Unreliable washing and drying units.
7. Roaches and ants despite maintaining an incredibly clean living space. 
8. Pipe burst some floors above me and rained down into my bathroom causing water damage. Building refused to acknowledge the problem. ",1,3,2,5,3
6379,CARRIE YEUNG,VANCOUVER,BRITISH COLUMBIA,V5L1V1,CA,One of the best landlords we’ve had. Lived in her rental unit for 11 years and she kept our rent low and place well maintained. ,5,5,5,5,5
6380,SANGHEE SONG,CAMBRIDGE ,NOVA SCOTIA,B0P1G0,CA,"Very respectful and nice landlord. Came to the property to help with problems as needed. 

Farm property so they came to work the land often without telling us. Not an issue for us but for some people, maybe. 

Mold was not dealt with on aging windows which did not seal whatsoever.

House was is generally good shape but by no means nice. 

Overall good experience with some minor annoyances. Didn't help that the place was overpriced. Not their fault for charging what everyone else is in this market. ",2,1,5,2,5
6381,MIN CAI,NANAIMO,BRITISH COLUMBIA,V9Y2C4,CA,"Phoned us daily yelling and screaming. Wanted to increase our rent from $1,000 to $1,500. Take on 100% of utilities for a multi dwelling unit. Went through multiple property managers due to her yelling and temper tantrums and only stuck on one that was a crook like her. We were evicted and she stole from us. After so long and having her and her newest property manager lie over and over again, we were finally able to get some compensation back from these horrible people.",1,1,1,1,1
6382,MAY SUTTON,NANAIMO,BRITISH COLUMBIA,V9Y2C4,CA,May Sutton worked with a home owner that bought our house sight unseen and than to the residential tenancy board about our eviction. She lied about paperwork everyone had copies of that she signed.,1,1,1,1,1
6383,BARRY FINCH (PARK PLACE PROPERTIES) ,VICTORIA ,BRITISH COLUMBIA,V9T2S7,CA,"Decent, but tries to pretend he doesn’t know the rules so he can come in without notice, etc. Fixes stuff quickly but cheaply so
It breaks again. But keeps rent stable and follows those rules. Overall, in this market, not awful. ",3,4,5,2,3
6384,DIANNE WILSON,LONDON,ONTARIO,N5Z3K4,CA,,1,4,1,1,1
6385,TONY CIMELLARO,KINGSTON,ONTARIO,K7L1C3,CA,,4,3,2,4,2
6386,SCIENCE 44 CO-OPERATIVE INC.,KINGSTON,ONTARIO,K7L3N1,CA,,4,5,3,3,5
6387,Q RENTALS,KINGSTON,ONTARIO,K7L3C5,CA,Great experience with Q rentals. Always quick to respond to any issues. ,5,5,5,5,5
6388,GALAXY PROPERTIES,HALIFAX,NOVA SCOTIA,B3J0E2,CA,,5,4,5,5,5
6389,RP PROPERTIES,BOSTON,MASSACHUSETTS,02199,US,"Cons: Slow to make repairs, and never did repairs properly. Regular infestations of roaches & drain flies. Mold problems in the basement units. Repeatedly tried to say my rent was late & tried to charge me late fees, even when I had proof my rent check had been delivered on time. 

Pros: Rent was cheap for the area.",2,2,4,4,2
6390,PETER METLEJ,HALIFAX,NOVA SCOTIA,B3J1A7,CA,"Peter has poor communication and is a little slow to get repairs done when needed. I usually have to organize getting landlord stuff done (calling and scheduling repairs) but he always pays me back so whatever. On the bright side, he hasn't raised rent, and I have only seen the guy once in 3 years so he leaves us alone which is good. ",2,4,5,5,3
6391,ONNI ,VANCOUVER,BRITISH COLUMBIA,V5T0E8,CA,Untrained on-site management results in poor practices. Cheap construction of all buildings (onni builds their own rental buildings),2,2,3,4,3
6392,BARBARA JONAS/JONAS APPLIANCES ,CAMBRIDGE ,ONTARIO,N1R3C1,CA,"Constantly breaking fire codes, by laws, creating substantial prolonged malicious interferences with tenant daily life. Extremely loud and unsafe place to live. ",1,1,1,1,1
